"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","0","tests","test_tuple_as_dict","","","","test_replace","replace() should change passed in fields."
"passed","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","1","tests.steps_defs","test_cucumber_steps","","","","test_add_cucumbers_to_a_basket[0-3-3]","/home/runner/work/Python_sandbox/Python_sandbox/tests/features/cucumbers.feature: Add cucumbers to a basket"
"passed","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","1","tests","test_json_schema_negative","","","","test_using_csv_with_different_fields_negative[4-one-20-green]",""
"broken","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","2","tests.steps_defs","test_api_steps","","","","test_basic_duckduckgo_api_query[dodge]","/home/runner/work/Python_sandbox/Python_sandbox/tests/features/api.feature: Basic DuckDuckGo API Query"
"passed","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","0","tests","test_tuple_as_dict","","","","test_asdict","_asdict() should return a dictionary."
"broken","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","1","tests.steps_defs","test_api_steps","","","","test_basic_duckduckgo_api_query[toyota]","/home/runner/work/Python_sandbox/Python_sandbox/tests/features/api.feature: Basic DuckDuckGo API Query"
"passed","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","241","tests.steps_defs","test_zippo_steps","","","","test_basic_zip_search[us-12345-Schenectady]","/home/runner/work/Python_sandbox/Python_sandbox/tests/features/zippopo.feature: Basic ZIP search"
"passed","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","1","tests.steps_defs","test_cucumber_steps","","","","test_remove_cucumbers_from_the_basket[5-4-1]","/home/runner/work/Python_sandbox/Python_sandbox/tests/features/cucumbers.feature: Remove cucumbers from the basket"
"passed","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","1","tests.steps_defs","test_cucumber_steps","","","","test_add_cucumbers_to_a_basket[2-1-3]","/home/runner/work/Python_sandbox/Python_sandbox/tests/features/cucumbers.feature: Add cucumbers to a basket"
"passed","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","1","tests.steps_defs","test_cucumber_steps","","","","test_remove_cucumbers_from_the_basket[8-3-5]","/home/runner/work/Python_sandbox/Python_sandbox/tests/features/cucumbers.feature: Remove cucumbers from the basket"
"passed","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","0","tests","test_json_schema_base","","","","test_using_csv_with_different_fields",""
"passed","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","2","tests","test_json_schema_negative","","","","test_using_csv_with_different_fields_negative[2-apple-two-tags0]",""
"broken","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","1","tests.steps_defs","test_api_steps","","","","test_basic_duckduckgo_api_query[audi]","/home/runner/work/Python_sandbox/Python_sandbox/tests/features/api.feature: Basic DuckDuckGo API Query"
"passed","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","1","tests.steps_defs","test_cucumber_steps","","","","test_add_cucumbers_to_a_basket[3-4-7]","/home/runner/work/Python_sandbox/Python_sandbox/tests/features/cucumbers.feature: Add cucumbers to a basket"
"passed","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","1","tests","test_cerberus_assertpy","","","","test_cerberus_validator_negative",""
"passed","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","1","tests.steps_defs","test_cucumber_steps","","","","test_remove_cucumbers_from_the_basket[1-1-0]","/home/runner/work/Python_sandbox/Python_sandbox/tests/features/cucumbers.feature: Remove cucumbers from the basket"
"passed","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","3","tests","test_cerberus_assertpy","","","","test_cerberus_validator_base",""
"passed","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","2","tests","test_json_schema_negative","","","","test_using_csv_with_different_fields_negative[one-banana-30-tags1]",""
"passed","Fri Jan 08 17:37:17 GMT 2021","Fri Jan 08 17:37:17 GMT 2021","77","tests.steps_defs","test_zippo_steps","","","","test_basic_zip_search[nl-3825-Vathorst]","/home/runner/work/Python_sandbox/Python_sandbox/tests/features/zippopo.feature: Basic ZIP search"
